Country_Name,Deaths,Confirmed
US,282,19883
US,1,100
US,30,1355
US,30,2430
US,74,4358
US,96,2959
US,70,2197
US,5,362
US,0,0
US,7,1060
US,13,429
US,4,2862
US,25,1387
US,442,21203
US,7,760
US,20,1065
US,21,2758
US,8,498
US,0,87
US,3,1049
US,3,263
US,9,4363
US,20,2167
US,0,90
US,14,490
US,369,38628
US,18,1022
US,2228,106924
US,2476,91956
US,300,15836
US,377,13941
US,2168,99629
US,456,24985
US,191,10488
US,1,1270
US,198,11718
US,392,21350
US,940,71325
US,559,29801
US,0,242
US,0,49
US,1163,56569
US,285,35631
US,62,5598
US,394,30288
US,58,4895
US,914,73263
US,3079,332684
US,45,2711
US,437,20108
US,463,17728
US,352,30483
US,551,52184
US,170,13643
US,97,6058
US,24,2530
US,1483,154892
US,706,52131
US,114,12928
US,20,2071
US,99,7933
US,44,2705
US,19,1277
US,45,2819
US,25,2515
US,45,5267
US,87,7014
US,482,25198
US,366,13663
US,1832,216734
US,49,3383
US,306,20077
US,158,9185
US,28,2211
US,26,2080
US,663,48074
US,1009,113221
US,332,46121
US,56,6094
US,16,1664
US,45,3147
US,689,58560
US,996,50468
US,335,18054
US,6472,639503
US,52,9859
US,127,14350
US,367,30691
US,89,6470
US,1310,209419
US,529,65941
US,2883,207314
US,802,69324
US,1671,121998
US,1387,114558
US,160,11099
US,291,28626
US,844,50677
US,516,56239
US,221,35826
US,657,42587
US,284,12941
US,140,8310
US,48,4109
US,9351,2961
US,74,2823
US,846,68166
US,56,5608
US,89,11617
US,52,4145
US,79,3130
US,24,1430
US,46,2243
US,12,343
US,152,6064
US,49,2365
US,159,12877
US,266,18271
US,87,2984
US,53,3209
US,510,23061
US,54,2109
US,55,2837
US,55,2218
US,45,5724
US,139,10552
US,68,3408
US,92,4147
US,18,782
US,71,6642
US,71,1441
US,258,14927
US,81,8332
US,43,2043
US,531,34712
US,17,5114
US,78,3838
US,369,39374
US,158,18312
US,3,302
US,582,34579
US,31,1283
US,1201,98518
US,193,7136
US,138,6727
US,228,22169
US,49,3368
US,260,18658
US,26,967
US,96,2783
US,15,1894
US,52,4080
US,1129,81527
US,83,4138
US,112,3238
US,49,1417
US,342,10743
US,253,19937
US,50,1716
US,9,670
US,94,7899
US,76,2804
US,87,3929
US,39,1476
US,84,3241
US,188,11841
US,258,15884
US,220,29119
US,63,3451
US,1540,119784
US,103,4006
US,19,366
US,259,14044
US,146,10181
US,75,3132
US,65,2441
US,1275,118573
US,169,6349
US,525,33331
US,71,1065
US,94,3378
US,69,3331
US,59,3062
US,24,1352
US,373,34137
US,288,21662
US,31,1340
US,168,12946
US,43,1925
US,45,2702
US,70,2408
US,45,1099
US,50,1450
US,65,2977
US,70,3049
US,14,1310
US,193,8097
US,72,4178
US,76,6651
